Shot,Real_Speed,Calculated_Speed,Speed_Ratio,Real_Launch_Angle,Calculated_Launch_Angle,Launch_Angle_Error,Real_Direction_Angle,Calculated_Direction_Angle,Direction_Angle_Error
2,60.9,2478.3942978118826,40.69612968492418,9.3,75.74861658366382,66.44861658366382,0.4,90.63143715123424,90.23143715123423
3,56.2,1834.9121155732585,32.64968177176616,3.9,75.8454752675184,71.94547526751839,-2.3,89.3821306477989,91.6821306477989
4,61.1,2025.9671259697784,33.15821810097837,6.7,75.67644390840051,68.97644390840051,-2.1,89.81300399451621,91.9130039945162
5,53.9,1913.4718916450825,35.500406152969994,3.5,75.94371657220326,72.44371657220326,-7.8,88.49872767470367,96.29872767470367
6,60.0,1535.5771867912442,25.592953113187402,8.2,75.65928730046635,67.45928730046634,3.3,90.34207202798231,87.04207202798231
7,60.5,1471.7383558941629,24.326253816432445,10.3,75.82931017962343,65.52931017962344,-2.3,89.01231411105289,91.31231411105288
8,60.0,3018.8419171353194,50.31403195225532,10.6,75.82980570791578,65.22980570791579,-0.7,90.52432277977414,91.22432277977414
9,61.1,2705.7058190768407,44.28323762809887,7.4,75.64995448676991,68.24995448676991,-0.5,90.43582369648466,90.93582369648466
15,58.6,1919.0361412216737,32.748057017434704,14.3,75.6965989156596,61.39659891565961,4.0,91.25818645778885,87.25818645778885
16,61.0,2005.9259850709748,32.884032542147125,9.2,75.9818710692756,66.7818710692756,-3.5,90.23703410397054,93.73703410397054
17,62.0,2441.1998820302283,39.37419164564884,7.2,75.62135347076331,68.42135347076331,0.3,90.8785464170439,90.57854641704391
18,60.3,1555.7891738645546,25.800815486974372,5.4,75.96371495093788,70.56371495093788,-6.2,87.82163602788754,94.02163602788754
19,59.8,3826.552417461856,63.989170860566155,13.0,75.56602115371138,62.566021153711375,6.5,91.18730731572883,84.68730731572883
20,59.8,2272.941543722091,38.009055915085135,10.1,75.67650535123545,65.57650535123545,-3.8,89.9252013747211,93.7252013747211
