Shot,Real_Speed,Fundamental_Speed,Speed_Ratio,Speed_Error_Percent,Real_Launch_Angle,Fundamental_Launch_Angle,Launch_Angle_Error,Real_Direction_Angle,Fundamental_Direction_Angle,Direction_Angle_Error
2,60.9,740.7837385851888,12.16393659417387,1116.3936594173872,9.3,0.9872430066127343,8.312756993387266,0.4,-86.88346968025662,87.28346968025663
3,56.2,1404.6218915756774,24.993272092093903,2399.3272092093903,3.9,0.7364162589720248,3.163583741027975,-2.3,-88.81851517428608,86.51851517428608
4,61.1,1858.8811387699313,30.42358655924601,2942.358655924601,6.7,0.6866123453367156,6.013387654663284,-2.1,-89.07079031876987,86.97079031876987
5,53.9,1606.809485337385,29.810936648188964,2881.093664818896,3.5,1.000438642622208,2.499561357377792,-7.8,-89.00578540014412,81.20578540014412
6,60.0,1083.4380236829381,18.057300394715636,1705.7300394715635,8.2,0.4464008549835145,7.7535991450164845,3.3,-88.5259377560986,91.8259377560986
7,60.5,975.6664932618933,16.126718896890797,1512.6718896890798,10.3,1.0920516213727298,9.207948378627272,-2.3,-87.57230505758926,85.27230505758926
8,60.0,1852.4411049304194,30.874018415506992,2987.4018415506994,10.6,0.7142822886326817,9.885717711367318,-0.7,-89.65111167524651,88.95111167524651
9,61.1,825.8947680776117,13.517099313872531,1251.7099313872532,7.4,0.7212205178108394,6.678779482189161,-0.5,-87.49813973149462,86.99813973149462
10,58.6,955.79426255418,16.310482296146418,1531.0482296146415,7.5,0.6859737627019455,6.814026237298054,0.3,-88.44066129484817,88.74066129484817
11,60.2,1691.5583250119803,28.09897549853788,2709.8975498537875,12.0,0.877625191285949,11.122374808714051,-3.8,-89.06955785067565,85.26955785067565
12,63.7,1472.8822235851458,23.122169914994437,2212.216991499444,10.9,2.516504166572598,8.383495833427403,-0.1,-78.86906777321121,78.76906777321122
13,59.7,1338.5051073737345,22.42052106153659,2142.052106153659,6.0,0.8074007936275801,5.19259920637242,-4.6,-88.6421835359898,84.0421835359898
14,61.1,1274.1962506484917,20.85427578802769,1985.427578802769,8.8,1.9925644972732957,6.807435502726705,-0.6,-81.19613454678225,80.59613454678225
15,58.6,561.5785654246556,9.58325196970402,858.3251969704021,14.3,1.0134522975749467,13.286547702425054,4.0,-86.0320647950585,90.0320647950585
16,61.0,1760.0807182625726,28.853782266599552,2785.378226659955,9.2,0.9319744071094447,8.268025592890554,-3.5,-88.782808851329,85.282808851329
17,62.0,2463.292051134014,39.73051695377442,3873.051695377442,7.2,0.5153571076638497,6.68464289233615,0.3,-89.28991914836149,89.58991914836149
18,60.3,1055.721414065465,17.50781781203093,1650.7817812030933,5.4,1.173250363080341,4.226749636919659,-6.2,-87.43455742018764,81.23455742018764
19,59.8,1403.6548912510966,23.472489820252452,2247.2489820252454,13.0,1.4246339747596088,11.575366025240392,6.5,66.92958394177123,60.42958394177123
20,59.8,2427.957469936924,40.60129548389505,3960.129548389505,10.1,0.8123758991866634,9.287624100813336,-3.8,-89.49822892671183,85.69822892671183
