Shot,Success,Detected_Frames,Detection_Rate,Speed_m_s,Launch_Angle_deg,Direction_Angle_deg,Method
1,No,0,0.00%,N/A,N/A,N/A,roi_coordinate_correction
2,Yes,3,23.08%,2402.25,0.57,-90.16,roi_coordinate_correction
3,Yes,2,8.70%,1779.33,0.68,-89.84,roi_coordinate_correction
4,Yes,2,8.70%,1963.06,0.50,-89.95,roi_coordinate_correction
5,Yes,2,8.70%,1856.39,0.79,-89.62,roi_coordinate_correction
6,Yes,2,8.70%,1487.78,0.48,-90.09,roi_coordinate_correction
7,Yes,2,8.70%,1427.06,0.66,-89.75,roi_coordinate_correction
8,Yes,2,8.70%,2927.19,0.66,-90.13,roi_coordinate_correction
9,Yes,2,8.70%,2621.38,0.47,-90.11,roi_coordinate_correction
10,Yes,2,8.70%,2904.96,0.55,-90.05,roi_coordinate_correction
11,Yes,2,8.70%,1902.27,0.77,-89.91,roi_coordinate_correction
12,No,0,0.00%,N/A,N/A,N/A,roi_coordinate_correction
13,Yes,2,8.70%,1663.64,0.64,-89.76,roi_coordinate_correction
14,Yes,3,13.04%,588.93,5.84,48.89,roi_coordinate_correction
15,Yes,3,13.04%,1859.65,0.52,-90.32,roi_coordinate_correction
16,Yes,2,8.70%,1946.39,0.82,-90.06,roi_coordinate_correction
17,Yes,2,8.70%,2364.82,0.44,-90.23,roi_coordinate_correction
18,Yes,2,8.70%,1509.56,0.81,-89.46,roi_coordinate_correction
19,Yes,2,8.70%,3705.90,0.38,-90.31,roi_coordinate_correction
20,Yes,2,8.70%,2202.37,0.50,-89.98,roi_coordinate_correction
