Shot,Success,Detected_Frames,Detection_Rate,Speed_m_s,Launch_Angle_deg,Direction_Angle_deg,ROI_Cam1,ROI_Cam2,Error
1,No,0,0.00%,N/A,N/A,N/A,"0,396","0,372",Analysis failed
2,Yes,3,23.08%,2402.25,89.40,-105.60,"0,396","0,372",
3,Yes,2,8.70%,1779.33,89.31,-77.04,"0,396","0,372",
4,Yes,2,8.70%,1963.06,89.50,-84.51,"0,396","0,372",
5,Yes,2,8.70%,1856.39,89.13,-64.44,"0,396","0,372",
6,Yes,2,8.70%,1487.78,89.51,-100.36,"0,396","0,372",
7,Yes,2,8.70%,1427.06,89.29,-69.34,"0,396","0,372",
8,Yes,2,8.70%,2927.19,89.33,-101.34,"0,396","0,372",
9,Yes,2,8.70%,2621.38,89.52,-103.38,"0,396","0,372",
10,Yes,2,8.70%,2904.96,89.45,-95.36,"0,396","0,372",
11,Yes,2,8.70%,1902.27,89.22,-83.15,"0,396","0,372",
12,No,0,0.00%,N/A,N/A,N/A,"0,396","0,372",Analysis failed
13,Yes,2,8.70%,1663.64,89.32,-69.72,"0,396","0,372",
14,Yes,3,13.04%,588.93,48.55,-8.84,"0,396","0,372",
15,Yes,3,13.04%,1859.65,89.39,-121.60,"0,396","0,372",
16,Yes,2,8.70%,1946.39,89.18,-94.12,"0,396","0,372",
17,Yes,2,8.70%,2364.82,89.51,-117.13,"0,396","0,372",
18,Yes,2,8.70%,1509.56,89.02,-56.17,"0,396","0,372",
19,Yes,2,8.70%,3705.90,89.51,-128.66,"0,396","0,372",
20,Yes,2,8.70%,2202.37,89.50,-87.80,"0,396","0,372",
