Shot,Real_Speed,ROI_Corrected_Speed,Speed_Ratio,Speed_Error_Percent,Real_Launch_Angle,ROI_Corrected_Launch_Angle,Launch_Angle_Error,Real_Direction_Angle,ROI_Corrected_Direction_Angle,Direction_Angle_Error
2,60.9,2402.251672853911,39.445840276747305,3844.5840276747304,9.3,89.40382308603691,80.10382308603691,0.4,-105.60479089641163,106.00479089641163
3,56.2,1779.3345781555295,31.66075761842579,3066.0757618425787,3.9,89.30509744287893,85.40509744287893,-2.3,-77.0428510156598,74.74285101565981
4,61.1,1963.0625167422538,32.128682761739014,3112.8682761739014,6.7,89.50115895970521,82.8011589597052,-2.1,-84.50767544287237,82.40767544287237
5,53.9,1856.3924487591212,34.44141834432507,3344.1418344325066,3.5,89.12904123387356,85.62904123387356,-7.8,-64.43827496763957,56.638274967639575
6,60.0,1487.7821725688227,24.79636954281371,2379.636954281371,8.2,89.5136154306419,81.3136154306419,3.3,-100.35780003919088,103.65780003919087
7,60.5,1427.0629793889627,23.58781784113988,2258.781784113988,10.3,89.2932261161408,78.9932261161408,-2.3,-69.34041142243406,67.04041142243406
8,60.0,2927.1892985156696,48.78648830859449,4778.648830859449,10.6,89.32655165744283,78.72655165744284,-0.7,-101.33612283308877,100.63612283308876
9,61.1,2621.379428246449,42.90310029863255,4190.310029863256,7.4,89.51824258132349,82.11824258132349,-0.5,-103.38112277285771,102.88112277285771
10,58.6,2904.956688889804,49.572639742146826,4857.263974214683,7.5,89.44905448417856,81.94905448417856,0.3,-95.35925808635245,95.65925808635245
11,60.2,1902.2668590509552,31.59911725998264,3059.911725998264,12.0,89.2223664463677,77.2223664463677,-3.8,-83.14924333822026,79.34924333822026
13,59.7,1663.6421478581483,27.866702644190088,2686.6702644190086,6.0,89.31886098029653,83.31886098029653,-4.6,-69.71744091108351,65.11744091108352
14,61.1,588.9261882203454,9.638726484784703,863.8726484784703,8.8,48.553250459427666,39.75325045942766,-0.6,-8.843646316581655,8.243646316581655
15,58.6,1859.65422655967,31.73471376381689,3073.4713763816894,14.3,89.38779482208356,75.08779482208357,4.0,-121.59586563213868,125.59586563213868
16,61.0,1946.3888421486752,31.908013805715985,3090.8013805715987,9.2,89.17641946444255,79.97641946444254,-3.5,-94.12028008241312,90.62028008241312
17,62.0,2364.819036274586,38.142242520557836,3714.224252055784,7.2,89.50615431839844,82.30615431839844,0.3,-117.13129830672003,117.43129830672002
18,60.3,1509.5567964760905,25.034109394296692,2403.4109394296697,5.4,89.02208157430728,83.62208157430727,-6.2,-56.17201305106903,49.97201305106903
19,59.8,3705.9042830091785,61.97164352858158,6097.164352858158,13.0,89.51084922498457,76.51084922498457,6.5,-128.65980825409008,135.15980825409008
20,59.8,2202.3685431408,36.8289054036923,3582.89054036923,10.1,89.50308189215463,79.40308189215463,-3.8,-87.79740183823436,83.99740183823437
