Shot,Real_Speed,Scale_Corrected_Speed,Speed_Ratio,Speed_Error_Percent,Real_Launch_Angle,Scale_Corrected_Launch_Angle,Launch_Angle_Error,Real_Direction_Angle,Scale_Corrected_Direction_Angle,Direction_Angle_Error,Scale_Factor
2,60.9,3787.5891162456774,62.19358154754807,6119.358154754807,9.3,39.361313241696934,30.061313241696933,0.4,90.131554501358,89.73155450135799,4.8
3,56.2,2793.536390835087,49.70705321770617,4870.705321770618,3.9,39.56105704529786,35.66105704529786,-2.3,89.8712724448653,92.1712724448653,4.8
4,61.1,3105.0575883409288,50.81927313160276,4981.927313160277,6.7,39.21192409948615,32.511924099486144,-2.1,89.96104236653919,92.06104236653918,4.8
5,53.9,2901.4242809309076,53.82976402469217,5282.976402469216,3.5,39.772969154345226,36.272969154345226,-7.8,89.6871664447304,97.48716644473039,4.8
6,60.0,2355.0397763909787,39.25066293984965,3825.066293984965,8.2,39.17722439574784,30.977224395747843,3.3,90.07126581581998,86.77126581581999,4.8
7,60.5,2241.9376228171886,37.05682021185436,3605.6820211854356,10.3,39.53003701171143,29.230037011711428,-2.3,89.79421260684839,92.09421260684839,4.8
8,60.0,4598.870678235089,76.64784463725148,7564.784463725148,10.6,39.52819057756752,28.92819057756752,-0.7,90.10923682941741,90.80923682941742,4.8
9,61.1,4151.10243093093,67.9394833212918,6693.94833212918,7.4,39.158483930548755,31.758483930548756,-0.5,90.09079827862124,90.59079827862124,4.8
10,58.6,4585.056533817742,78.24328556002973,7724.328556002972,7.5,39.31187452037613,31.81187452037613,0.3,90.04213741910785,89.74213741910785,4.8
11,60.2,2974.839261689313,49.41593457955669,4841.593457955669,12.0,39.74657835016662,27.746578350166622,-3.8,89.92285784838393,93.72285784838392,4.8
13,59.7,2616.0311154472793,43.81961667415878,4281.961667415878,6.0,39.486495466009686,33.486495466009686,-4.6,89.8054441298972,94.40544412989719,4.8
14,61.1,1029.9322291462292,16.856501295355635,1585.6501295355633,8.8,25.379556673489066,16.579556673489066,-0.6,-65.54704716126803,64.94704716126803,4.8
15,58.6,2938.4481335404516,50.144166101372896,4914.416610137289,14.3,39.25947505626863,24.959475056268627,4.0,90.26216249073903,86.26216249073903,4.8
16,61.0,3037.6179556002853,49.79701566557845,4879.701566557845,9.2,39.84369121706037,30.64369121706037,-3.5,90.04938237449255,93.54938237449255,4.8
17,62.0,3749.309816060999,60.472738968725785,5947.273896872579,7.2,39.102603266929904,31.902603266929905,0.3,90.18304422669672,89.88304422669673,4.8
18,60.3,2356.7022150252346,39.0829554730553,3808.29554730553,5.4,39.82497125461301,34.42497125461301,-6.2,89.5459648829399,95.7459648829399,4.8
19,59.8,5889.43096723635,98.48546767953762,9748.546767953761,13.0,38.992867803149586,25.992867803149586,6.5,90.24738956587296,83.74738956587296,4.8
20,59.8,3483.5784882711064,58.25382087409877,5725.382087409877,10.1,39.21192954898661,29.11192954898661,-3.8,89.98441694459848,93.78441694459848,4.8
